0,"[0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 2. 2. 0. 0. 0. 2. 1. 0. 0. 0. 2. 0. 0.
 0.]",80.0% idealnego rozwi¹zania
1,"[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 2. 2. 0. 0. 2. 1. 0. 0. 0. 2. 0. 0.
 2.]",76.0% idealnego rozwi¹zania
2,"[0. 0. 0. 2. 0. 0. 1. 0. 0. 0. 0. 1. 2. 2. 0. 0. 0. 1. 0. 0. 0. 2. 0. 0.
 0.]",72.0% idealnego rozwi¹zania
3,"[0. 0. 0. 0. 0. 0. 1. 2. 2. 0. 0. 1. 2. 2. 0. 0. 1. 1. 0. 0. 0. 2. 0. 0.
 0.]",76.0% idealnego rozwi¹zania
4,"[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 2. 2. 0. 0. 0. 0. 1. 1. 0. 0. 2. 0. 0.
 0.]",88.0% idealnego rozwi¹zania
5,"[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 2. 2. 0. 0. 0. 0. 1. 0. 0. 0. 2. 0. 0.
 0.]",84.0% idealnego rozwi¹zania
6,"[0. 0. 0. 0. 0. 0. 1. 2. 2. 0. 0. 1. 2. 0. 0. 0. 0. 1. 0. 1. 0. 2. 0. 0.
 0.]",72.0% idealnego rozwi¹zania
7,"[0. 0. 0. 0. 2. 0. 1. 2. 0. 1. 0. 1. 2. 0. 0. 0. 0. 1. 0. 0. 0. 2. 0. 0.
 2.]",64.0% idealnego rozwi¹zania
8,"[0. 0. 0. 0. 0. 0. 1. 2. 2. 0. 0. 1. 2. 0. 0. 0. 0. 1. 0. 0. 0. 2. 0. 0.
 0.]",76.0% idealnego rozwi¹zania
9,"[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 2. 2. 0. 0. 0. 0. 1. 0. 1. 0. 2. 0. 0.
 2.]",76.0% idealnego rozwi¹zania
10,"[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 2. 2. 0. 0. 0. 2. 1. 0. 0. 0. 2. 0. 0.
 1.]",84.0% idealnego rozwi¹zania
11,"[0. 0. 0. 0. 0. 0. 1. 2. 0. 0. 0. 1. 2. 0. 0. 0. 0. 1. 0. 1. 0. 2. 0. 0.
 1.]",68.0% idealnego rozwi¹zania
12,"[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 2. 2. 0. 2. 0. 0. 1. 0. 0. 0. 2. 0. 0.
 0.]",80.0% idealnego rozwi¹zania
13,"[0. 0. 0. 0. 1. 0. 1. 1. 0. 2. 0. 2. 2. 0. 0. 0. 0. 1. 1. 0. 0. 2. 0. 0.
 0.]",80.0% idealnego rozwi¹zania
14,"[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 2. 2. 0. 0. 0. 2. 1. 0. 0. 0. 2. 0. 0.
 1.]",80.0% idealnego rozwi¹zania
15,"[0. 0. 0. 0. 2. 0. 1. 2. 0. 0. 0. 1. 2. 0. 0. 0. 0. 1. 0. 0. 0. 2. 0. 0.
 1.]",68.0% idealnego rozwi¹zania
